Fresh,Milk,Grocery,Frozen,Detergents_Paper,Delicassen
Fort,Fort,Très fort,Très faible,Fort,Moyen
Très fort,Moyen,Moyen,Faible,Très faible,Très faible
Fort,Fort,Fort,Très faible,Moyen,Moyen
Fort,Moyen,Fort,Très faible,Moyen,Très faible
Très fort,Très fort,Très fort,Moyen,Très fort,Moyen
Fort,Fort,Fort,Moyen,Moyen,Faible
Fort,Très fort,Très fort,Moyen,Fort,Moyen
Moyen,Moyen,Moyen,Moyen,Moyen,Moyen
Très faible,Très fort,Très fort,Très faible,Très fort,Moyen
Très faible,Moyen,Fort,Très faible,Moyen,Très faible
Très fort,Fort,Très fort,Moyen,Fort,Faible
Moyen,Fort,Moyen,Fort,Faible,Moyen
Fort,Moyen,Moyen,Faible,Faible,Très faible
Très fort,Moyen,Moyen,Très fort,Très faible,Moyen
Très fort,Moyen,Très fort,Fort,Moyen,Très fort
Moyen,Fort,Moyen,Fort,Moyen,Très faible
Très fort,Fort,Fort,Fort,Faible,Faible
Fort,Fort,Fort,Moyen,Moyen,Moyen
Très fort,Moyen,Très faible,Moyen,Très faible,Faible
Faible,Moyen,Fort,Fort,Faible,Faible
Très fort,Très fort,Très fort,Faible,Très fort,Moyen
Très fort,Moyen,Moyen,Moyen,Très faible,Très faible
Moyen,Moyen,Moyen,Faible,Moyen,Moyen
Fort,Faible,Moyen,Très faible,Faible,Faible
Très faible,Fort,Très fort,Très faible,Fort,Très faible
Très fort,Fort,Très fort,Faible,Moyen,Moyen
Très fort,Moyen,Moyen,Moyen,Faible,Faible
Très fort,Moyen,Moyen,Moyen,Moyen,Très faible
Très fort,Très fort,Très fort,Moyen,Très fort,Moyen
Très fort,Très fort,Très fort,Faible,Très fort,Faible
Très fort,Fort,Fort,Fort,Moyen,Très fort
Fort,Faible,Moyen,Fort,Très faible,Très faible
Très fort,Moyen,Fort,Moyen,Très faible,Moyen
Très fort,Faible,Moyen,Moyen,Très faible,Très faible
Très fort,Moyen,Moyen,Fort,Faible,Moyen
Fort,Très fort,Très fort,Moyen,Très fort,Fort
Très fort,Moyen,Moyen,Très fort,Très faible,Moyen
Fort,Très fort,Très fort,Très faible,Fort,Très faible
Très faible,Moyen,Fort,Très faible,Très faible,Faible
Très faible,Moyen,Fort,Très faible,Moyen,Très faible
Très faible,Très faible,Faible,Faible,Très faible,Très faible
Faible,Très faible,Faible,Faible,Très faible,Très faible
Fort,Moyen,Moyen,Fort,Très faible,Très faible
Très fort,Fort,Très fort,Moyen,Fort,Moyen
Moyen,Très fort,Très fort,Moyen,Fort,Moyen
Moyen,Fort,Fort,Moyen,Moyen,Moyen
Très fort,Moyen,Fort,Très fort,Moyen,Moyen
Très fort,Moyen,Moyen,Moyen,Moyen,Faible
Très fort,Moyen,Moyen,Faible,Très faible,Moyen
Moyen,Fort,Très fort,Très faible,Fort,Moyen
Fort,Très fort,Très fort,Moyen,Fort,Moyen
Moyen,Fort,Fort,Très faible,Moyen,Moyen
Moyen,Très fort,Très fort,Faible,Faible,Très faible
Très fort,Moyen,Moyen,Moyen,Très faible,Moyen
Très fort,Très fort,Très fort,Faible,Fort,Moyen
Très fort,Moyen,Moyen,Fort,Très faible,Moyen
Très fort,Moyen,Moyen,Moyen,Faible,Moyen
Très fort,Moyen,Moyen,Moyen,Très faible,Moyen
Très fort,Faible,Moyen,Moyen,Très faible,Faible
Très fort,Moyen,Moyen,Moyen,Très faible,Très faible
Fort,Moyen,Fort,Moyen,Très faible,Moyen
Très fort,Moyen,Moyen,Fort,Très faible,Faible
Fort,Moyen,Moyen,Moyen,Très faible,Faible
Très fort,Moyen,Moyen,Moyen,Très faible,Moyen
Moyen,Moyen,Moyen,Moyen,Très faible,Très faible
Très fort,Très faible,Très faible,Moyen,Très faible,Faible
Très fort,Très fort,Fort,Moyen,Moyen,Très faible
Très fort,Moyen,Moyen,Moyen,Faible,Moyen
Très fort,Moyen,Fort,Très fort,Faible,Faible
Très fort,Moyen,Moyen,Fort,Très faible,Très faible
Très fort,Fort,Très fort,Faible,Moyen,Moyen
Très faible,Fort,Moyen,Très faible,Moyen,Très faible
Très fort,Faible,Moyen,Moyen,Très faible,Moyen
Fort,Moyen,Faible,Fort,Très faible,Faible
Moyen,Faible,Très faible,Très faible,Très faible,Très faible
Très fort,Moyen,Moyen,Faible,Faible,Très faible
Fort,Moyen,Moyen,Très faible,Très faible,Très faible
Fort,Moyen,Moyen,Faible,Très faible,Faible
Fort,Moyen,Moyen,Moyen,Très faible,Très faible
Moyen,Fort,Fort,Moyen,Moyen,Moyen
Moyen,Fort,Fort,Faible,Faible,Très faible
Très fort,Moyen,Fort,Très faible,Très faible,Moyen
Fort,Moyen,Moyen,Faible,Faible,Faible
Très fort,Moyen,Fort,Moyen,Faible,Moyen
Très fort,Très fort,Fort,Très faible,Très faible,Moyen
Très fort,Fort,Fort,Moyen,Très faible,Très faible
Très fort,Moyen,Moyen,Fort,Très faible,Très faible
Très fort,Moyen,Moyen,Très faible,Faible,Très faible
Très fort,Fort,Très fort,Très faible,Très fort,Moyen
Fort,Moyen,Moyen,Faible,Très faible,Faible
Fort,Moyen,Moyen,Moyen,Moyen,Faible
Fort,Faible,Faible,Moyen,Très faible,Très faible
Très fort,Moyen,Moyen,Faible,Très faible,Moyen
Très fort,Moyen,Moyen,Faible,Très faible,Moyen
Moyen,Moyen,Moyen,Faible,Très faible,Moyen
Très fort,Moyen,Moyen,Moyen,Très faible,Très faible
Moyen,Fort,Moyen,Faible,Très faible,Moyen
Faible,Très faible,Très faible,Très faible,Très faible,Très faible
Moyen,Très fort,Très fort,Très faible,Très fort,Moyen
Moyen,Fort,Très fort,Très faible,Fort,Moyen
Très fort,Moyen,Moyen,Moyen,Faible,Très faible
Moyen,Fort,Fort,Faible,Moyen,Moyen
Très faible,Fort,Très fort,Très faible,Fort,Très faible
Moyen,Moyen,Très fort,Faible,Moyen,Moyen
Très fort,Faible,Très faible,Moyen,Très faible,Moyen
Très fort,Moyen,Moyen,Moyen,Très faible,Faible
Fort,Très fort,Très fort,Moyen,Très fort,Très faible
Fort,Fort,Fort,Moyen,Moyen,Très faible
Très fort,Très fort,Très fort,Moyen,Fort,Moyen
Moyen,Fort,Fort,Faible,Moyen,Moyen
Moyen,Moyen,Moyen,Très faible,Moyen,Faible
Fort,Faible,Faible,Moyen,Très faible,Très faible
Fort,Faible,Moyen,Moyen,Très faible,Faible
Très faible,Fort,Très fort,Moyen,Fort,Très faible
Très faible,Très fort,Très fort,Faible,Fort,Fort
Faible,Fort,Fort,Très faible,Moyen,Faible
Faible,Fort,Très fort,Faible,Fort,Faible
Très faible,Moyen,Fort,Moyen,Très faible,Moyen
Moyen,Fort,Très fort,Très faible,Moyen,Moyen
Très fort,Fort,Fort,Fort,Moyen,Très faible
Très fort,Fort,Moyen,Moyen,Très faible,Moyen
Très fort,Fort,Moyen,Moyen,Très faible,Très faible
Moyen,Moyen,Moyen,Moyen,Très faible,Moyen
Très fort,Fort,Fort,Très faible,Moyen,Moyen
Très fort,Très fort,Très fort,Très fort,Moyen,Fort
Faible,Fort,Très fort,Très faible,Fort,Très faible
Très fort,Très fort,Très fort,Très fort,Très faible,Très fort
Très faible,Faible,Moyen,Très faible,Très faible,Très faible
Fort,Fort,Moyen,Moyen,Très faible,Très faible
Moyen,Faible,Faible,Moyen,Faible,Faible
Moyen,Fort,Fort,Fort,Moyen,Très faible
Fort,Fort,Très fort,Moyen,Fort,Très faible
Faible,Très fort,Très fort,Très faible,Moyen,Moyen
Très fort,Fort,Moyen,Fort,Très faible,Très faible
Très fort,Très faible,Moyen,Faible,Très faible,Très faible
Fort,Moyen,Moyen,Faible,Très faible,Très faible
Très faible,Moyen,Très fort,Faible,Fort,Faible
Fort,Moyen,Moyen,Faible,Très faible,Moyen
Très fort,Fort,Fort,Fort,Très faible,Moyen
Très fort,Fort,Moyen,Très fort,Faible,Moyen
Moyen,Fort,Très fort,Moyen,Moyen,Moyen
Très fort,Moyen,Fort,Moyen,Faible,Faible
Fort,Moyen,Moyen,Faible,Très faible,Très faible
Moyen,Très fort,Très fort,Moyen,Fort,Faible
Moyen,Très fort,Très fort,Moyen,Très fort,Moyen
Très fort,Très fort,Fort,Fort,Très faible,Fort
Faible,Faible,Moyen,Très faible,Faible,Très faible
Moyen,Faible,Fort,Moyen,Très faible,Moyen
Moyen,Très fort,Très fort,Faible,Fort,Faible
Fort,Faible,Faible,Faible,Très faible,Très faible
Moyen,Moyen,Fort,Moyen,Fort,Très faible
Moyen,Moyen,Fort,Moyen,Moyen,Faible
Fort,Très fort,Très fort,Faible,Très fort,Faible
Très fort,Moyen,Moyen,Moyen,Très faible,Moyen
Très fort,Très fort,Très fort,Moyen,Très fort,Moyen
Fort,Moyen,Moyen,Moyen,Très faible,Moyen
Moyen,Fort,Fort,Moyen,Moyen,Moyen
Moyen,Fort,Très fort,Faible,Fort,Faible
Moyen,Très fort,Très fort,Moyen,Fort,Moyen
Moyen,Très fort,Très fort,Très faible,Très fort,Faible
Très fort,Moyen,Moyen,Moyen,Très faible,Moyen
Très faible,Fort,Très fort,Moyen,Moyen,Fort
Moyen,Très faible,Moyen,Moyen,Très faible,Très faible
Très fort,Faible,Moyen,Moyen,Très faible,Faible
Fort,Fort,Très fort,Très faible,Moyen,Très faible
Fort,Moyen,Moyen,Fort,Très faible,Très faible
Moyen,Moyen,Fort,Fort,Faible,Moyen
Fort,Faible,Moyen,Faible,Très faible,Faible
Très fort,Moyen,Moyen,Faible,Faible,Faible
Très fort,Fort,Fort,Moyen,Moyen,Moyen
Moyen,Moyen,Moyen,Moyen,Très faible,Faible
Moyen,Faible,Faible,Faible,Moyen,Très faible
Fort,Moyen,Moyen,Fort,Faible,Faible
Très fort,Fort,Fort,Fort,Faible,Moyen
Moyen,Très fort,Moyen,Moyen,Moyen,Très faible
Très fort,Moyen,Moyen,Faible,Très faible,Faible
Faible,Moyen,Moyen,Faible,Très faible,Très faible
Très fort,Moyen,Moyen,Moyen,Très faible,Moyen
Moyen,Fort,Moyen,Moyen,Moyen,Très faible
Fort,Faible,Moyen,Moyen,Très faible,Très faible
Très fort,Moyen,Faible,Moyen,Très faible,Moyen
Fort,Très faible,Faible,Moyen,Très faible,Très faible
Très fort,Moyen,Moyen,Fort,Faible,Moyen
Très fort,Moyen,Fort,Très fort,Très faible,Moyen
Très fort,Moyen,Moyen,Moyen,Très faible,Moyen
Très fort,Faible,Moyen,Moyen,Faible,Faible
Très fort,Moyen,Fort,Faible,Moyen,Moyen
Fort,Fort,Très fort,Moyen,Moyen,Moyen
Moyen,Fort,Très fort,Très faible,Fort,Moyen
Fort,Moyen,Moyen,Moyen,Très faible,Faible
Très fort,Très faible,Très faible,Moyen,Très faible,Faible
Très fort,Fort,Moyen,Faible,Faible,Faible
Fort,Moyen,Moyen,Fort,Faible,Très faible
Moyen,Moyen,Moyen,Moyen,Très faible,Faible
Fort,Très fort,Très fort,Fort,Très fort,Fort
Fort,Moyen,Moyen,Fort,Très faible,Moyen
Très fort,Fort,Très fort,Très faible,Très faible,Moyen
Très fort,Très fort,Moyen,Moyen,Moyen,Moyen
Très fort,Très faible,Moyen,Moyen,Très faible,Faible
Très fort,Fort,Fort,Très faible,Très faible,Très faible
Fort,Moyen,Moyen,Fort,Moyen,Faible
Très fort,Moyen,Moyen,Fort,Faible,Moyen
Très fort,Moyen,Fort,Moyen,Faible,Faible
Fort,Moyen,Moyen,Très faible,Faible,Faible
Fort,Moyen,Moyen,Fort,Très faible,Très faible
Très fort,Moyen,Moyen,Faible,Très faible,Faible
Moyen,Moyen,Fort,Moyen,Moyen,Très faible
Moyen,Fort,Très fort,Très faible,Fort,Moyen
Fort,Très fort,Très fort,Très fort,Faible,Moyen
Faible,Fort,Très fort,Moyen,Moyen,Moyen
Très fort,Moyen,Moyen,Moyen,Faible,Moyen
Très fort,Fort,Très fort,Moyen,Fort,Faible
Très fort,Très faible,Moyen,Moyen,Très faible,Très faible
Moyen,Moyen,Faible,Fort,Très faible,Très faible
Moyen,Fort,Moyen,Moyen,Très faible,Moyen
Faible,Fort,Fort,Faible,Très faible,Moyen
Très fort,Moyen,Moyen,Moyen,Très faible,Moyen
Faible,Moyen,Moyen,Faible,Faible,Moyen
Faible,Moyen,Très faible,Faible,Très faible,Très faible
Très fort,Moyen,Fort,Moyen,Faible,Moyen
Fort,Faible,Faible,Très fort,Faible,Très faible
Très fort,Moyen,Moyen,Fort,Très faible,Moyen
Très fort,Fort,Fort,Moyen,Moyen,Moyen
Moyen,Moyen,Moyen,Faible,Très faible,Moyen
Très fort,Fort,Fort,Moyen,Moyen,Moyen
Très fort,Moyen,Moyen,Fort,Moyen,Moyen
Très fort,Moyen,Moyen,Très fort,Très faible,Moyen
Très fort,Moyen,Très fort,Fort,Faible,Moyen
Très fort,Faible,Moyen,Moyen,Très faible,Très faible
Fort,Moyen,Moyen,Moyen,Moyen,Très faible
Très fort,Moyen,Moyen,Fort,Très faible,Moyen
Très fort,Faible,Moyen,Faible,Très faible,Très faible
Très fort,Très faible,Très faible,Moyen,Très faible,Très faible
Moyen,Moyen,Moyen,Faible,Faible,Moyen
Fort,Moyen,Moyen,Moyen,Très faible,Faible
Moyen,Moyen,Moyen,Moyen,Faible,Moyen
Moyen,Très fort,Très fort,Faible,Fort,Faible
Très fort,Moyen,Fort,Faible,Faible,Moyen
Fort,Moyen,Fort,Très faible,Moyen,Très faible
Très fort,Moyen,Moyen,Moyen,Faible,Faible
Fort,Moyen,Fort,Moyen,Moyen,Faible
Fort,Moyen,Fort,Faible,Moyen,Moyen
Très faible,Faible,Moyen,Très faible,Très faible,Très faible
Très fort,Fort,Fort,Faible,Moyen,Moyen
Fort,Très fort,Très fort,Moyen,Fort,Très faible
Moyen,Fort,Fort,Très faible,Fort,Faible
Moyen,Moyen,Très fort,Très faible,Très fort,Très faible
Très faible,Fort,Très fort,Faible,Très fort,Moyen
Très faible,Très fort,Fort,Faible,Moyen,Très faible
Fort,Très fort,Très fort,Moyen,Fort,Moyen
Très fort,Moyen,Moyen,Moyen,Très faible,Faible
Fort,Moyen,Moyen,Très faible,Très faible,Faible
Faible,Très fort,Très fort,Moyen,Fort,Faible
Fort,Moyen,Moyen,Très fort,Très faible,Moyen
Très fort,Moyen,Fort,Moyen,Très faible,Très faible
Moyen,Moyen,Très fort,Moyen,Très fort,Très faible
Fort,Faible,Moyen,Moyen,Très faible,Très faible
Très fort,Moyen,Fort,Moyen,Faible,Moyen
Moyen,Très fort,Très fort,Faible,Moyen,Moyen
Fort,Moyen,Moyen,Moyen,Très faible,Moyen
Moyen,Moyen,Fort,Faible,Faible,Moyen
Très fort,Moyen,Moyen,Moyen,Faible,Très faible
Fort,Très fort,Très fort,Moyen,Très fort,Moyen
Moyen,Moyen,Moyen,Faible,Très faible,Faible
Fort,Moyen,Fort,Moyen,Très faible,Moyen
Très fort,Faible,Moyen,Moyen,Moyen,Très faible
Très fort,Faible,Très fort,Faible,Moyen,Faible
Très fort,Moyen,Moyen,Moyen,Très faible,Moyen
Très fort,Très fort,Très fort,Très fort,Moyen,Fort
Moyen,Moyen,Moyen,Moyen,Très faible,Faible
Faible,Faible,Moyen,Très faible,Très faible,Faible
Très fort,Moyen,Moyen,Fort,Très faible,Moyen
Fort,Moyen,Moyen,Fort,Très faible,Faible
Fort,Moyen,Fort,Moyen,Très faible,Moyen
Très fort,Très fort,Très fort,Moyen,Fort,Moyen
Très fort,Moyen,Moyen,Moyen,Très faible,Moyen
Fort,Moyen,Très fort,Très faible,Très fort,Moyen
Très fort,Faible,Moyen,Très fort,Très faible,Moyen
Très fort,Fort,Très fort,Moyen,Moyen,Moyen
Très fort,Moyen,Moyen,Faible,Très faible,Faible
Fort,Moyen,Moyen,Fort,Très faible,Faible
Très faible,Très faible,Fort,Très fort,Très faible,Faible
Moyen,Moyen,Fort,Fort,Faible,Moyen
Très faible,Moyen,Fort,Très faible,Fort,Moyen
Moyen,Fort,Très fort,Faible,Fort,Moyen
Très faible,Fort,Fort,Très faible,Moyen,Moyen
Moyen,Fort,Très fort,Moyen,Très fort,Très faible
Moyen,Moyen,Moyen,Moyen,Très faible,Très faible
Moyen,Moyen,Fort,Très faible,Moyen,Très faible
Moyen,Fort,Très fort,Moyen,Fort,Moyen
Très fort,Fort,Très fort,Moyen,Moyen,Moyen
Moyen,Moyen,Moyen,Moyen,Moyen,Faible
Fort,Très fort,Très fort,Moyen,Très fort,Très faible
Moyen,Moyen,Moyen,Moyen,Très faible,Faible
Moyen,Très fort,Très fort,Moyen,Très fort,Moyen
Faible,Moyen,Moyen,Faible,Très faible,Très faible
Très faible,Fort,Très fort,Très faible,Fort,Moyen
Très fort,Fort,Moyen,Fort,Moyen,Moyen
Très faible,Faible,Moyen,Très faible,Très faible,Très faible
Très fort,Très faible,Très faible,Moyen,Très faible,Faible
Très faible,Moyen,Très fort,Très faible,Fort,Très faible
Faible,Très fort,Moyen,Fort,Faible,Moyen
Faible,Fort,Moyen,Très faible,Très faible,Faible
Très fort,Moyen,Moyen,Moyen,Très faible,Faible
Moyen,Faible,Faible,Moyen,Très faible,Très faible
Moyen,Moyen,Moyen,Faible,Très faible,Faible
Moyen,Faible,Moyen,Très faible,Moyen,Très faible
Moyen,Faible,Moyen,Moyen,Faible,Très faible
Moyen,Fort,Fort,Moyen,Moyen,Moyen
Fort,Moyen,Moyen,Moyen,Très faible,Très faible
Moyen,Faible,Faible,Moyen,Très faible,Très faible
Très fort,Moyen,Moyen,Moyen,Très faible,Faible
Fort,Très faible,Faible,Moyen,Très faible,Très faible
Très fort,Moyen,Moyen,Moyen,Faible,Moyen
Très fort,Moyen,Moyen,Fort,Faible,Faible
Moyen,Moyen,Moyen,Faible,Très faible,Moyen
Très fort,Fort,Fort,Moyen,Moyen,Moyen
Fort,Moyen,Moyen,Moyen,Très faible,Faible
Fort,Moyen,Moyen,Faible,Très faible,Très faible
Moyen,Fort,Très fort,Fort,Moyen,Moyen
Très fort,Moyen,Moyen,Moyen,Très faible,Moyen
Moyen,Moyen,Moyen,Très faible,Très faible,Moyen
Moyen,Fort,Très fort,Très faible,Faible,Très faible
Très fort,Faible,Moyen,Moyen,Faible,Très faible
Très fort,Moyen,Moyen,Fort,Très faible,Faible
Très fort,Fort,Fort,Moyen,Moyen,Moyen
Moyen,Moyen,Moyen,Moyen,Très faible,Très faible
Très fort,Très fort,Très fort,Moyen,Très faible,Fort
Très fort,Faible,Moyen,Moyen,Très faible,Moyen
Moyen,Moyen,Moyen,Moyen,Très faible,Faible
Très fort,Moyen,Moyen,Moyen,Très faible,Faible
Fort,Faible,Moyen,Moyen,Très faible,Très faible
Fort,Moyen,Moyen,Moyen,Très faible,Faible
Moyen,Moyen,Moyen,Fort,Très faible,Moyen
Moyen,Moyen,Moyen,Faible,Très faible,Moyen
Faible,Moyen,Moyen,Faible,Très faible,Faible
Très fort,Fort,Moyen,Fort,Très faible,Faible
Très fort,Faible,Moyen,Moyen,Très faible,Très faible
Fort,Moyen,Moyen,Moyen,Faible,Très faible
Moyen,Très fort,Fort,Moyen,Moyen,Moyen
Très fort,Moyen,Moyen,Fort,Très faible,Faible
Très fort,Moyen,Faible,Fort,Très faible,Très faible
Fort,Faible,Faible,Moyen,Très faible,Très faible
Moyen,Faible,Moyen,Moyen,Très faible,Moyen
Très fort,Moyen,Moyen,Très fort,Très faible,Moyen
Très fort,Moyen,Fort,Très faible,Très faible,Très faible
Très fort,Très fort,Moyen,Très faible,Faible,Très faible
Très fort,Moyen,Moyen,Moyen,Faible,Faible
Fort,Moyen,Moyen,Moyen,Faible,Très faible
Très fort,Fort,Fort,Fort,Moyen,Faible
Fort,Très fort,Très fort,Moyen,Fort,Faible
Fort,Moyen,Fort,Moyen,Moyen,Très faible
Fort,Moyen,Fort,Moyen,Moyen,Fort
Fort,Moyen,Moyen,Moyen,Moyen,Moyen
Moyen,Moyen,Moyen,Moyen,Très faible,Moyen
Très faible,Moyen,Très fort,Très faible,Moyen,Très faible
Moyen,Moyen,Fort,Très fort,Faible,Moyen
Fort,Moyen,Moyen,Fort,Moyen,Très faible
Fort,Fort,Fort,Moyen,Moyen,Moyen
Moyen,Très fort,Très fort,Faible,Fort,Faible
Fort,Fort,Très fort,Très faible,Moyen,Moyen
Faible,Fort,Très fort,Très faible,Fort,Faible
Fort,Moyen,Moyen,Faible,Moyen,Moyen
Moyen,Fort,Très fort,Très faible,Fort,Moyen
Très fort,Moyen,Fort,Moyen,Moyen,Moyen
Très fort,Moyen,Moyen,Faible,Faible,Moyen
Très fort,Moyen,Moyen,Moyen,Moyen,Faible
Très fort,Moyen,Très fort,Faible,Moyen,Très faible
Très fort,Moyen,Moyen,Très fort,Très faible,Moyen
Très fort,Fort,Très fort,Moyen,Fort,Moyen
Très fort,Très fort,Fort,Très fort,Très faible,Moyen
Moyen,Fort,Moyen,Moyen,Faible,Très faible
Fort,Moyen,Moyen,Très faible,Très faible,Moyen
Moyen,Moyen,Très fort,Faible,Très faible,Moyen
Fort,Fort,Fort,Très fort,Moyen,Moyen
Très fort,Moyen,Moyen,Très faible,Moyen,Très faible
Moyen,Moyen,Moyen,Moyen,Très faible,Moyen
Très fort,Moyen,Fort,Faible,Moyen,Faible
Très fort,Très fort,Très fort,Très fort,Très faible,Moyen
Très fort,Moyen,Faible,Moyen,Très faible,Moyen
Très fort,Très fort,Très fort,Très faible,Très fort,Moyen
Très fort,Moyen,Moyen,Moyen,Très faible,Moyen
Moyen,Moyen,Moyen,Très faible,Très faible,Très faible
